codigo;sitio;ano;transecto
ISPMAC-011107-DT-I-15-1-F;Arroyo del Cartelón;2007;1
ISPMAC-011107-DT-I-15-2-F;Arroyo del Cartelón;2007;2
ISPMAC-011107-DT-I-15-3-F;Arroyo del Cartelón;2007;3
ISPMAC-011107-FP-I-15-1-F;Arroyo del Cartelón;2007;4
ISPMAC-011107-FP-I-15-2-F;Arroyo del Cartelón;2007;5
ISPMAC-011107-FP-I-15-3-F;Arroyo del Cartelón;2007;6
ISPMAC-011107-JG-D-20-1-F;Arroyo del Cartelón;2007;7
ISPMAC-011107-JG-D-20-2-F;Arroyo del Cartelón;2007;8
ISPMAC-011107-JG-D-20-3-F;Arroyo del Cartelón;2007;9
ISPMAC-011107-JT-D-20-1-F;Arroyo del Cartelón;2007;10
ISPMAC-011107-JT-D-20-2-F;Arroyo del Cartelón;2007;11
ISPMAC-011107-JT-D-20-3-F;Arroyo del Cartelón;2007;12
ISPMAC-011107-NB-I-15-1-F;Arroyo del Cartelón;2007;13
ISPMAC-011107-NB-I-15-2-F;Arroyo del Cartelón;2007;14
ISPMAC-011107-NB-I-15-3-F;Arroyo del Cartelón;2007;15
ISPMAC-011107-RS-D-20-1-F;Arroyo del Cartelón;2007;16
ISPMAC-011107-RS-D-20-2-F;Arroyo del Cartelón;2007;17
ISPMAC-011107-RS-D-20-3-F;Arroyo del Cartelón;2007;18
ISPMAC-011107-SD-D-20-1-F;Arroyo del Cartelón;2007;19
ISPMAC-011107-SD-D-20-2-F;Arroyo del Cartelón;2007;20
ISPMAC-011107-SD-D-20-3-F;Arroyo del Cartelón;2007;21
ISPMAC-011107-UB-I-20-1-F;Arroyo del Cartelón;2007;22
ISPMAC-011107-UB-I-20-2-F;Arroyo del Cartelón;2007;23
ISPMAC-011107-UB-I-20-3-F;Arroyo del Cartelón;2007;24
ISPMCR-291007-FP-I-15-1-F;Cueva de la Reserva;2007;1
ISPMCR-291007-JG-D-10-1-F;Cueva de la Reserva;2007;2
ISPMCR-291007-JG-D-10-2-F;Cueva de la Reserva;2007;3
ISPMCR-291007-JG-D-10-3-F;Cueva de la Reserva;2007;4
ISPMCR-291007-JT-D-10-2-F;Cueva de la Reserva;2007;5
ISPMCR-291007-NB-I-15-1-F;Cueva de la Reserva;2007;6
ISPMCR-291007-RS-I-15-2-F;Cueva de la Reserva;2007;7
ISPMCR-291007-SD-D-10-1-F;Cueva de la Reserva;2007;8
ISPMCR-291007-SD-D-10-3-F;Cueva de la Reserva;2007;9
ISPMCR-291007-ST-D-10-2-F;Cueva de la Reserva;2007;10
ISPMCR-291007-UB-I-10-2-F;Cueva de la Reserva;2007;11
ISPMLV-301007-FP-D-20-1-F;La Ventana;2007;1
ISPMLV-301007-FP-D-20-2-F;La Ventana;2007;2
ISPMLV-301007-FP-D-20-3-F;La Ventana;2007;3
ISPMLV-301007-JG-I-10-1-F;La Ventana;2007;4
ISPMLV-301007-JT-I-20-1-F;La Ventana;2007;5
ISPMLV-301007-NB-D-5-1-F;La Ventana;2007;6
ISPMLV-301007-NB-D-5-2-F;La Ventana;2007;7
ISPMLV-301007-NB-D-5-3-F;La Ventana;2007;8
ISPMLV-301007-RS-I-10-2-F;La Ventana;2007;9
ISPMLV-301007-SD-I-10-1-F;La Ventana;2007;10
ISPMLM-021107-DT-D-15-1-F;Los Morritos;2007;1
ISPMLM-021107-DT-D-15-2-F;Los Morritos;2007;2
ISPMLM-021107-DT-D-15-3-F;Los Morritos;2007;3
ISPMLM-021107-FP-D-15-1-F;Los Morritos;2007;4
ISPMLM-021107-FP-D-15-2-F;Los Morritos;2007;5
ISPMLM-021107-FP-D-15-3-F;Los Morritos;2007;6
ISPMLM-021107-JG-I-10-1-F;Los Morritos;2007;7
ISPMLM-021107-JG-I-10-2-F;Los Morritos;2007;8
ISPMLM-021107-JG-I-10-3-F;Los Morritos;2007;9
ISPMLM-021107-JT-I-10-1-F;Los Morritos;2007;10
ISPMLM-021107-JT-I-10-2-F;Los Morritos;2007;11
ISPMLM-021107-JT-I-10-3-F;Los Morritos;2007;12
ISPMLM-021107-NB-D-10-1-F;Los Morritos;2007;13
ISPMLM-021107-NB-D-10-2-F;Los Morritos;2007;14
ISPMLM-021107-NB-D-10-3-F;Los Morritos;2007;15
ISPMLM-021107-RS-I-10-1-F;Los Morritos;2007;16
ISPMLM-021107-RS-I-10-2-F;Los Morritos;2007;17
ISPMLM-021107-RS-I-10-3-F;Los Morritos;2007;18
ISPMLM-021107-SD-I-10-1-F;Los Morritos;2007;19
ISPMLM-021107-SD-I-10-2-F;Los Morritos;2007;20
ISPMLM-021107-SD-I-10-3-F;Los Morritos;2007;21
ISPMLM-021107-UB-D-15-1-F;Los Morritos;2007;22
ISPMPR-311007-DT-I-20-1-F;Punta Rabijunco;2007;1
ISPMPR-311007-DT-I-20-2-F;Punta Rabijunco;2007;2
ISPMPR-311007-JG-D-20-1-F;Punta Rabijunco;2007;3
ISPMPR-311007-JG-D-20-3-F;Punta Rabijunco;2007;4
ISPMPR-311007-JT-D-20-2-F;Punta Rabijunco;2007;5
ISPMPR-311007-RS-D-20-2-F;Punta Rabijunco;2007;6
ISPMPR-311007-SD-D-20-1-F;Punta Rabijunco;2007;7
ISPMPR-311007-SD-D-20-2-M;Punta Rabijunco;2007;8
ISPMPR-311007-UB-I-20-1-F;Punta Rabijunco;2007;9
ISPMAC-191008-DT-D-5-1-F;Arroyo del Cartelón;2008;1
ISPMAC-191008-DT-D-5-2-F;Arroyo del Cartelón;2008;2
ISPMAC-191008-DT-D-5-3-F;Arroyo del Cartelón;2008;3
ISPMAC-191008-FP-I-10-1-F;Arroyo del Cartelón;2008;4
ISPMAC-191008-FP-I-10-2-F;Arroyo del Cartelón;2008;5
ISPMAC-191008-FP-I-10-3-F;Arroyo del Cartelón;2008;6
ISPMAC-191008-JT-I-5-1-F;Arroyo del Cartelón;2008;7
ISPMAC-191008-JT-I-5-2-F;Arroyo del Cartelón;2008;8
ISPMAC-191008-JT-I-5-3-F;Arroyo del Cartelón;2008;9
ISPMAC-191008-LE-D-20-1-F;Arroyo del Cartelón;2008;10
ISPMAC-191008-LE-D-20-2-F;Arroyo del Cartelón;2008;11
ISPMAC-191008-LE-D-20-3-F;Arroyo del Cartelón;2008;12
ISPMAC-191008-MR-I-20-1-F;Arroyo del Cartelón;2008;13
ISPMAC-191008-MR-I-20-2-F;Arroyo del Cartelón;2008;14
ISPMAC-191008-MR-I-20-3-F;Arroyo del Cartelón;2008;15
ISPMAC-191008-RS-D-10-1-F;Arroyo del Cartelón;2008;16
ISPMAC-191008-RS-D-10-2-F;Arroyo del Cartelón;2008;17
ISPMAC-191008-RS-D-10-3-F;Arroyo del Cartelón;2008;18
ISPMAC-191008-SD-I-15-1-F;Arroyo del Cartelón;2008;19
ISPMAC-191008-SD-I-15-2-F;Arroyo del Cartelón;2008;20
ISPMAC-191008-SD-I-15-3-F;Arroyo del Cartelón;2008;21
ISPMAC-191008-UB-D-15-1-F;Arroyo del Cartelón;2008;22
ISPMAC-191008-UB-D-15-2-F;Arroyo del Cartelón;2008;23
ISPMAC-191008-UB-D-15-3-F;Arroyo del Cartelón;2008;24
ISPMBB-011108-LE-D-20-1-F;Barra Baya;2008;1
ISPMBB-011108-LE-D-20-2-F;Barra Baya;2008;2
ISPMBB-011108-LE-D-20-3-F;Barra Baya;2008;3
ISPMBB-011108-SD-I-15-1-F;Barra Baya;2008;4
ISPMBB-011108-SD-I-15-2-F;Barra Baya;2008;5
ISPMBB-011108-SD-I-15-3-F;Barra Baya;2008;6
ISPMBB-201008-DT-D-5-1-F;Barra Baya;2008;7
ISPMBB-201008-DT-D-5-2-F;Barra Baya;2008;8
ISPMBB-201008-DT-D-5-3-F;Barra Baya;2008;9
ISPMBB-201008-JT-I-5-1-F;Barra Baya;2008;10
ISPMBB-201008-JT-I-5-2-F;Barra Baya;2008;11
ISPMBB-201008-JT-I-5-3-F;Barra Baya;2008;12
ISPMBB-201008-LE-D-10-1-F;Barra Baya;2008;13
ISPMBB-201008-LE-D-10-2-F;Barra Baya;2008;14
ISPMBB-201008-LE-D-10-3-F;Barra Baya;2008;15
ISPMBB-201008-MR-I-10-1-F;Barra Baya;2008;16
ISPMBB-201008-MR-I-10-2-F;Barra Baya;2008;17
ISPMBB-201008-MR-I-10-3-F;Barra Baya;2008;18
ISPMBB-201008-NB-D-15-1-M;Barra Baya;2008;19
ISPMBB-201008-NB-D-15-2-M;Barra Baya;2008;20
ISPMBB-201008-NB-D-15-3-M;Barra Baya;2008;21
ISPMBB-201008-SD-I-20-1-F;Barra Baya;2008;22
ISPMBB-201008-SD-I-20-2-F;Barra Baya;2008;23
ISPMBB-201008-SD-I-20-3-F;Barra Baya;2008;24
ISPMCR-211008-DT-D-10-1-F;Cueva de la Reserva;2008;1
ISPMCR-211008-DT-D-10-2-F;Cueva de la Reserva;2008;2
ISPMCR-211008-DT-D-10-3-F;Cueva de la Reserva;2008;3
ISPMCR-211008-JT-I-10-1-F;Cueva de la Reserva;2008;4
ISPMCR-211008-JT-I-10-2-F;Cueva de la Reserva;2008;5
ISPMCR-211008-JT-I-10-3-F;Cueva de la Reserva;2008;6
ISPMCR-211008-LE-D-15-1-F;Cueva de la Reserva;2008;7
ISPMCR-211008-LE-D-15-2-F;Cueva de la Reserva;2008;8
ISPMCR-211008-LE-D-15-3-F;Cueva de la Reserva;2008;9
ISPMCR-211008-MR-I-15-1-F;Cueva de la Reserva;2008;10
ISPMCR-211008-MR-I-15-2-F;Cueva de la Reserva;2008;11
ISPMCR-211008-MR-I-15-3-F;Cueva de la Reserva;2008;12
ISPMCR-211008-RS-D-5-1-F;Cueva de la Reserva;2008;13
ISPMCR-211008-RS-D-5-2-F;Cueva de la Reserva;2008;14
ISPMCR-211008-RS-D-5-3-F;Cueva de la Reserva;2008;15
ISPMCR-211008-RS-I-5-1-F;Cueva de la Reserva;2008;16
ISPMCR-211008-RS-I-5-2-F;Cueva de la Reserva;2008;17
ISPMCR-211008-RS-I-5-3-F;Cueva de la Reserva;2008;18
ISPMCR-211008-SD-I-20-1-F;Cueva de la Reserva;2008;19
ISPMCR-211008-SD-I-20-2-F;Cueva de la Reserva;2008;20
ISPMCR-211008-SD-I-20-3-F;Cueva de la Reserva;2008;21
ISPMCR-211008-UB-D-15-1-F;Cueva de la Reserva;2008;22
ISPMCR-211008-UB-D-15-2-F;Cueva de la Reserva;2008;23
ISPMCR-211008-UB-D-15-3-F;Cueva de la Reserva;2008;24
ISPMCB-311008-DT-I-10-3-F;Cueva del Biólogo;2008;1
ISPMCB-311008-LE-D-20-1-F;Cueva del Biólogo;2008;2
ISPMCB-311008-LE-D-20-2-F;Cueva del Biólogo;2008;3
ISPMCB-311008-LE-D-20-3-F;Cueva del Biólogo;2008;4
ISPMCB-311008-MR-I-20-1-F;Cueva del Biólogo;2008;5
ISPMCB-311008-MR-I-20-2-F;Cueva del Biólogo;2008;6
ISPMCB-311008-MR-I-20-3-F;Cueva del Biólogo;2008;7
ISPMCB-311008-NB-D-5-1-F;Cueva del Biólogo;2008;8
ISPMCB-311008-NB-D-5-2-F;Cueva del Biólogo;2008;9
ISPMCB-311008-NB-D-5-3-F;Cueva del Biólogo;2008;10
ISPMCB-311008-NB-I-5-1-F;Cueva del Biólogo;2008;11
ISPMCB-311008-NB-I-5-2-F;Cueva del Biólogo;2008;12
ISPMCB-311008-NB-I-5-3-F;Cueva del Biólogo;2008;13
ISPMCB-311008-RS-D-10-1-F;Cueva del Biólogo;2008;14
ISPMCB-311008-RS-D-10-2-F;Cueva del Biólogo;2008;15
ISPMCB-311008-RS-D-15-1-F;Cueva del Biólogo;2008;16
ISPMCB-311008-RS-D-15-2-F;Cueva del Biólogo;2008;17
ISPMCB-311008-RS-D-15-3-F;Cueva del Biólogo;2008;18
ISPMCB-311008-SD-I-10-1-F;Cueva del Biólogo;2008;19
ISPMCB-311008-SD-I-10-2-F;Cueva del Biólogo;2008;20
ISPMCB-311008-SD-I-15-1-F;Cueva del Biólogo;2008;21
ISPMCB-311008-SD-I-15-2-F;Cueva del Biólogo;2008;22
ISPMCB-311008-SD-I-15-3-F;Cueva del Biólogo;2008;23
ISPMCB-311008-UB-D-10-3-F;Cueva del Biólogo;2008;24
ISPMLM-021108-DT-I-10-1-F;Los Morritos;2008;1
ISPMLM-021108-JT-D-20-1-F;Los Morritos;2008;2
ISPMLM-021108-JT-D-20-2-F;Los Morritos;2008;3
ISPMLM-021108-JT-D-20-3-F;Los Morritos;2008;4
ISPMLM-021108-MR-I-20-1-F;Los Morritos;2008;5
ISPMLM-021108-MR-I-20-2-F;Los Morritos;2008;6
ISPMLM-021108-RS-D-10-1-F;Los Morritos;2008;7
ISPMLM-021108-RS-D-10-2-F;Los Morritos;2008;8
ISPMLM-021108-RS-D-15-1-F;Los Morritos;2008;9
ISPMLM-021108-RS-D-15-2-F;Los Morritos;2008;10
ISPMLM-021108-RS-D-15-3-F;Los Morritos;2008;11
ISPMLM-021108-SD-I-10-1-F;Los Morritos;2008;12
ISPMLM-021108-SD-I-10-2-F;Los Morritos;2008;13
ISPMLM-021108-SD-I-15-1-F;Los Morritos;2008;14
ISPMLM-021108-SD-I-15-2-F;Los Morritos;2008;15
ISPMLM-021108-SD-I-15-3-F;Los Morritos;2008;16
ISPMLM-021108-UB-D-10-1-F;Los Morritos;2008;17
ISPMLM-021108-UB-D-5-1-F;Los Morritos;2008;18
ISPMLM-021108-UB-D-5-2-F;Los Morritos;2008;19
ISPMLM-021108-UB-D-5-3-F;Los Morritos;2008;20
ISPMLM-021108-UB-I-5-1-F;Los Morritos;2008;21
ISPMLM-021108-UB-I-5-2-F;Los Morritos;2008;22
ISPMLM-021108-UB-I-5-3-F;Los Morritos;2008;23
ISPMPR-181008-DT-D-5-1-F;Punta Rabijunco;2008;1
ISPMPR-181008-DT-D-5-2-F;Punta Rabijunco;2008;2
ISPMPR-181008-DT-D-5-3-F;Punta Rabijunco;2008;3
ISPMPR-181008-DT-I-5-1-F;Punta Rabijunco;2008;4
ISPMPR-181008-FP-I-10-1-F;Punta Rabijunco;2008;5
ISPMPR-181008-FP-I-10-2-F;Punta Rabijunco;2008;6
ISPMPR-181008-FP-I-10-3-F;Punta Rabijunco;2008;7
ISPMPR-181008-JT-I-20-1-F;Punta Rabijunco;2008;8
ISPMPR-181008-JT-I-20-2-F;Punta Rabijunco;2008;9
ISPMPR-181008-JT-I-20-3-F;Punta Rabijunco;2008;10
ISPMPR-181008-LE-D-20-1-F;Punta Rabijunco;2008;11
ISPMPR-181008-LE-D-20-2-F;Punta Rabijunco;2008;12
ISPMPR-181008-LE-D-20-3-F;Punta Rabijunco;2008;13
ISPMPR-181008-MR-I-5-1-F;Punta Rabijunco;2008;14
ISPMPR-181008-MR-I-5-2-F;Punta Rabijunco;2008;15
ISPMPR-181008-NB-D-15-1-F;Punta Rabijunco;2008;16
ISPMPR-181008-NB-D-15-2-F;Punta Rabijunco;2008;17
ISPMPR-181008-NB-D-15-3-F;Punta Rabijunco;2008;18
ISPMPR-181008-RS-D-10-1-F;Punta Rabijunco;2008;19
ISPMPR-181008-RS-D-10-2-F;Punta Rabijunco;2008;20
ISPMPR-181008-RS-D-10-3-F;Punta Rabijunco;2008;21
ISPMPR-181008-SD-I-15-1-F;Punta Rabijunco;2008;22
ISPMPR-181008-SD-I-15-2-F;Punta Rabijunco;2008;23
ISPMPR-181008-SD-I-15-3-F;Punta Rabijunco;2008;24
ISPMAC-021109-LE-D-20-1-F;Arroyo del Cartelón;2009;1
ISPMAC-021109-LE-D-20-2-F;Arroyo del Cartelón;2009;2
ISPMAC-021109-LE-D-20-3-F;Arroyo del Cartelón;2009;3
ISPMAC-021109-MR-I-20-1-F;Arroyo del Cartelón;2009;4
ISPMAC-021109-MR-I-20-2-F;Arroyo del Cartelón;2009;5
ISPMAC-021109-MR-I-20-3-F;Arroyo del Cartelón;2009;6
ISPMAC-021109-RS-D-15-1-F;Arroyo del Cartelón;2009;7
ISPMAC-021109-RS-D-15-2-F;Arroyo del Cartelón;2009;8
ISPMAC-021109-RS-D-15-3-F;Arroyo del Cartelón;2009;9
ISPMAC-021109-SD-I-10-1-M;Arroyo del Cartelón;2009;10
ISPMAC-021109-SD-I-10-2-M;Arroyo del Cartelón;2009;11
ISPMAC-021109-SD-I-10-3-M;Arroyo del Cartelón;2009;12
ISPMAC-021109-UB-D-10-1-F;Arroyo del Cartelón;2009;13
ISPMAC-021109-UB-D-10-2-F;Arroyo del Cartelón;2009;14
ISPMAC-021109-UB-D-10-3-F;Arroyo del Cartelón;2009;15
ISPMAC-131109-MR-I-15-1-F;Arroyo del Cartelón;2009;16
ISPMAC-131109-MR-I-15-2-F;Arroyo del Cartelón;2009;17
ISPMAC-131109-MR-I-15-3-F;Arroyo del Cartelón;2009;18
ISPMAC-131109-SD-D-5-1-F;Arroyo del Cartelón;2009;19
ISPMAC-131109-SD-D-5-2-F;Arroyo del Cartelón;2009;20
ISPMAC-131109-SD-D-5-3-F;Arroyo del Cartelón;2009;21
ISPMAC-131109-SD-I-5-1-F;Arroyo del Cartelón;2009;22
ISPMAC-131109-SD-I-5-2-F;Arroyo del Cartelón;2009;23
ISPMAC-131109-SD-I-5-3-F;Arroyo del Cartelón;2009;24
ISPMBB-031109-DT-I-20-1-F;Barra Baya;2009;1
ISPMBB-031109-DT-I-20-2-F;Barra Baya;2009;2
ISPMBB-031109-DT-I-20-3-F;Barra Baya;2009;3
ISPMBB-031109-FP-I-5-1-F;Barra Baya;2009;4
ISPMBB-031109-FP-I-5-2-F;Barra Baya;2009;5
ISPMBB-031109-FP-I-5-3-F;Barra Baya;2009;6
ISPMBB-031109-JT-D-20-1-F;Barra Baya;2009;7
ISPMBB-031109-JT-D-20-3-F;Barra Baya;2009;8
ISPMBB-031109-LE-D-20-2-F;Barra Baya;2009;9
ISPMBB-031109-MR-I-10-1-F;Barra Baya;2009;10
ISPMBB-031109-MR-I-10-2-F;Barra Baya;2009;11
ISPMBB-031109-NB-D-15-1-F;Barra Baya;2009;12
ISPMBB-031109-NB-D-15-2-F;Barra Baya;2009;13
ISPMBB-031109-NB-D-15-3-F;Barra Baya;2009;14
ISPMBB-031109-RS-D-10-1-F;Barra Baya;2009;15
ISPMBB-031109-RS-D-10-2-F;Barra Baya;2009;16
ISPMBB-031109-RS-D-10-3-F;Barra Baya;2009;17
ISPMBB-031109-RS-D-5-1-F;Barra Baya;2009;18
ISPMBB-031109-RS-D-5-2-F;Barra Baya;2009;19
ISPMBB-031109-RS-D-5-3-F;Barra Baya;2009;20
ISPMBB-031109-SD-I-15-1-F;Barra Baya;2009;21
ISPMBB-031109-SD-I-15-2-F;Barra Baya;2009;22
ISPMBB-031109-SD-I-15-3-F;Barra Baya;2009;23
ISPMBB-031109-UB-I-10-3-F;Barra Baya;2009;24
ISPMCR-121109-FP-I-5-1-F;Cueva de la Reserva;2009;1
ISPMCR-121109-FP-I-5-2-F;Cueva de la Reserva;2009;2
ISPMCR-121109-FP-I-5-3-F;Cueva de la Reserva;2009;3
ISPMCR-121109-JT-D-20-1-F;Cueva de la Reserva;2009;4
ISPMCR-121109-JT-D-20-2-F;Cueva de la Reserva;2009;5
ISPMCR-121109-JT-D-20-3-F;Cueva de la Reserva;2009;6
ISPMCR-121109-MR-I-20-1-F;Cueva de la Reserva;2009;7
ISPMCR-121109-MR-I-20-2-F;Cueva de la Reserva;2009;8
ISPMCR-121109-MR-I-20-3-F;Cueva de la Reserva;2009;9
ISPMCR-121109-NB-D-10-1-F;Cueva de la Reserva;2009;10
ISPMCR-121109-NB-D-10-2-F;Cueva de la Reserva;2009;11
ISPMCR-121109-NB-D-10-3-F;Cueva de la Reserva;2009;12
ISPMCR-121109-RS-D-15-1-F;Cueva de la Reserva;2009;13
ISPMCR-121109-RS-D-15-2-F;Cueva de la Reserva;2009;14
ISPMCR-121109-RS-D-15-3-F;Cueva de la Reserva;2009;15
ISPMCR-121109-RS-I-10-1-F;Cueva de la Reserva;2009;16
ISPMCR-121109-RS-I-10-2-F;Cueva de la Reserva;2009;17
ISPMCR-121109-RS-I-10-3-F;Cueva de la Reserva;2009;18
ISPMCR-121109-SD-I-15-1-F;Cueva de la Reserva;2009;19
ISPMCR-121109-SD-I-15-2-F;Cueva de la Reserva;2009;20
ISPMCR-121109-SD-I-15-3-F;Cueva de la Reserva;2009;21
ISPMCR-121109-UB-D-5-1-F;Cueva de la Reserva;2009;22
